steps,episode,reward,epsilon,loss
500,0,-15486.00,0.9995,36.067165
3000,5,-5467.00,0.9970,15.167127
5500,10,-6281.00,0.9945,12.618353
7935,15,-470.00,0.9921,22.058422
10435,20,-1671.00,0.9896,2.430983
12935,25,-2676.00,0.9872,10.605782
15435,30,-10276.00,0.9847,15.489496
17813,35,-377.00,0.9823,8.225513
20126,40,-8684.00,0.9800,16.238300
22626,45,-481.00,0.9776,54.282906
24782,50,-25772.00,0.9754,29.197872
27282,55,-2888.00,0.9729,95.289566
29782,60,-474.00,0.9705,16.563715
32282,65,-469.00,0.9680,44.984425
34782,70,-7469.00,0.9655,125.120888
37282,75,-477.00,0.9630,115.172379
39782,80,-375.00,0.9605,136.548248
42282,85,-473.00,0.9581,73.065231
44782,90,-10872.00,0.9556,107.912560
47282,95,-478.00,0.9531,23.769167
49782,100,-2472.00,0.9506,68.641281
51887,105,-473.00,0.9485,208.909241
53954,110,-2272.00,0.9465,61.072727
56454,115,-468.00,0.9440,40.176880
58954,120,-20885.00,0.9415,83.369881
61454,125,-2481.00,0.9390,57.981396
63954,130,-3467.00,0.9366,129.829681
66454,135,-474.00,0.9341,63.879364
68954,140,-14669.00,0.9316,119.845718
71000,145,-372.00,0.9296,95.569717
73500,150,-12669.00,0.9271,109.238136
76000,155,-37900.00,0.9246,163.805618
78500,160,-34884.00,0.9221,114.715057
81000,165,-15269.00,0.9196,26.819073
83500,170,-11168.00,0.9172,40.793907
86000,175,-476.00,0.9147,36.036270
88500,180,-484.00,0.9122,89.068024
90678,185,-473.00,0.9100,124.661087
93178,190,-473.00,0.9076,84.601967
95678,195,-17481.00,0.9051,260.985626
98178,200,-7873.00,0.9026,236.998978
100678,205,-4487.00,0.9001,62.042236
103178,210,-472.00,0.8976,114.225517
105528,215,-475.00,0.8953,26.952387
108028,220,-31074.00,0.8928,94.516769
110309,225,-11668.00,0.8906,11.590498
112809,230,-3270.00,0.8881,125.151993
115309,235,-6670.00,0.8856,156.029343
117809,240,-488.00,0.8831,108.613037
120293,245,-474.00,0.8807,46.408928
122793,250,-4067.00,0.8782,108.759033
125293,255,-12283.00,0.8757,80.167053
127793,260,-11284.00,0.8732,90.042641
130293,265,-1276.00,0.8707,200.948914
132793,270,-10067.00,0.8683,37.532650
135293,275,-474.00,0.8658,47.582134
137793,280,-494.00,0.8633,88.567642
140293,285,-13876.00,0.8608,46.577271
142793,290,-472.00,0.8583,18.416952
145293,295,-9873.00,0.8559,117.630844
147793,300,-467.00,0.8534,101.321266
