steps,avg_reward
10000,-22768.5546875
20000,-28765.5
30000,-12516.2001953125
40000,-16792.69921875
50000,-26607.900390625
60000,-18121.80078125
70000,-18541.69921875
80000,-23797.900390625
90000,-11295.0
100000,-19772.30078125
110000,-31166.80078125
120000,-15458.5
130000,-21963.099609375
140000,-26439.400390625
150000,-7759.7998046875
160000,-5553.60009765625
170000,-7690.60009765625
180000,-6670.2998046875
190000,-4150.0
200000,-6861.7998046875
210000,-7084.2001953125
220000,-6329.0
230000,-3999.800048828125
240000,-8126.2001953125
250000,-6812.2001953125
260000,-5210.7001953125
270000,-7060.39990234375
280000,-4207.5
290000,-1473.4000244140625
300000,-10980.099609375
310000,-2607.89990234375
320000,-2611.10009765625
330000,-7700.7998046875
340000,-2181.699951171875
350000,-6860.2001953125
360000,-7259.89990234375
370000,-4509.10009765625
380000,-3232.39990234375
390000,-10829.599609375
400000,-4505.7998046875
410000,-2393.699951171875
420000,-3082.5
430000,-3776.0
440000,-4219.2001953125
450000,-4882.60009765625
460000,-1821.5999755859375
470000,-2153.0
480000,-3832.0
490000,-5081.2001953125
500000,-3150.10009765625
510000,-1128.699951171875
520000,-3333.699951171875
530000,-2425.60009765625
540000,-11262.900390625
550000,-2655.699951171875
560000,-1993.699951171875
570000,-3018.39990234375
580000,-2340.800048828125
590000,-1869.699951171875
600000,-973.7999877929688
610000,-962.0999755859375
620000,-2034.699951171875
630000,-1559.699951171875
640000,-1172.5
650000,-4666.2001953125
660000,-9274.0
670000,-1190.199951171875
680000,-7076.89990234375
690000,-1810.5999755859375
700000,-1853.0
710000,-1933.300048828125
720000,-1833.0999755859375
730000,-1589.4000244140625
740000,-3793.39990234375
750000,-1031.0
760000,-1892.199951171875
770000,-3514.5
780000,-4035.199951171875
790000,-5998.0
800000,-5943.2001953125
810000,-1092.300048828125
820000,-1292.800048828125
830000,-1421.5
840000,-5350.2998046875
850000,-8502.2998046875
860000,-3354.300048828125
870000,-1042.5
880000,-3890.300048828125
890000,-2371.60009765625
900000,-1423.199951171875
910000,-1554.199951171875
920000,-7739.7001953125
930000,-4362.0
940000,-2466.89990234375
950000,-1753.199951171875
960000,-2415.89990234375
970000,-5110.0
980000,-5940.2001953125
990000,-2516.10009765625
1000000,-3074.39990234375
1010000,-2590.699951171875
1020000,-3311.89990234375
1030000,-4391.2001953125
1040000,-960.5
1050000,-1905.699951171875
1060000,-974.7000122070312
1070000,-3183.0
1080000,-1570.800048828125
1090000,-2992.39990234375
1100000,-2775.39990234375
1110000,-6159.89990234375
1120000,-2389.199951171875
1130000,-1168.199951171875
1140000,-4480.60009765625
1150000,-1113.5
1160000,-3380.800048828125
1170000,-1171.4000244140625
1180000,-8686.2998046875
