steps,episode,reward,epsilon,loss
379318,770,-18067.00,0.6237,31.070005
381818,775,-31271.00,0.6212,94.464035
384318,780,-2271.00,0.6188,122.078117
386818,785,-484.00,0.6163,50.941429
389318,790,-25569.00,0.6138,89.857170
391818,795,-472.00,0.6113,75.445869
394318,800,-19378.00,0.6088,115.606483
396818,805,-7269.00,0.6064,53.321857
399318,810,-10687.00,0.6039,41.302013
401572,815,1877.00,0.6016,16.811090
404072,820,-1277.00,0.5992,64.154716
406572,825,-2267.00,0.5967,18.625692
409072,830,-468.00,0.5942,64.706375
411167,835,-17572.00,0.5921,84.941437
413667,840,-6467.00,0.5896,44.767349
416167,845,-468.00,0.5872,53.029980
418667,850,-473.00,0.5847,54.370888
421167,855,-371.00,0.5822,34.152332
423667,860,-8689.00,0.5797,74.119102
426167,865,-9267.00,0.5772,51.327610
428667,870,-18869.00,0.5748,139.206360
431167,875,-486.00,0.5723,44.534885
433667,880,-5887.00,0.5698,119.381287
436144,885,1641.00,0.5673,7.308937
438644,890,-5067.00,0.5649,49.763039
441144,895,-474.00,0.5624,56.973858
443644,900,-4482.00,0.5599,73.586700
445810,905,-43984.00,0.5578,45.285786
448310,910,-4067.00,0.5553,35.703548
450810,915,-473.00,0.5528,22.986162
453310,920,-5969.00,0.5503,105.090088
455810,925,-473.00,0.5478,71.800339
458310,930,-27669.00,0.5454,44.302795
460810,935,-494.00,0.5429,104.664322
463310,940,-8289.00,0.5404,11.285509
465722,945,-6902.00,0.5380,74.723450
467863,950,-9887.00,0.5359,25.330183
470363,955,-386.00,0.5334,36.240559
472863,960,-370.00,0.5309,26.438950
475363,965,-471.00,0.5284,13.894610
477863,970,-6686.00,0.5260,65.744225
480363,975,-1669.00,0.5235,7.270375
482863,980,-6871.00,0.5210,34.542992
485363,985,-13074.00,0.5185,65.978149
487863,990,-472.00,0.5160,12.095104
490363,995,-8869.00,0.5136,55.704338
492863,1000,-467.00,0.5111,105.433403
495363,1005,-13972.00,0.5086,19.298721
497863,1010,-477.00,0.5061,42.738350
500363,1015,-2269.00,0.5036,21.974669
502863,1020,-11670.00,0.5012,36.198139
505363,1025,-481.00,0.4987,69.072052
507863,1030,-3268.00,0.4962,13.075726
510002,1035,-4990.00,0.4941,42.126579
512502,1040,-16467.00,0.4916,33.430908
515002,1045,-476.00,0.4891,84.160271
517502,1050,-8180.00,0.4866,62.457230
520002,1055,-474.00,0.4842,28.838703
522502,1060,-29271.00,0.4817,162.775787
525002,1065,-7487.00,0.4792,24.152964
527502,1070,-475.00,0.4767,12.451157
530002,1075,-4378.00,0.4742,24.891165
532502,1080,-6274.00,0.4718,18.629560
535002,1085,-1484.00,0.4693,6.680943
537502,1090,-4682.00,0.4668,22.811872
540002,1095,-14670.00,0.4643,22.718819
542502,1100,-3470.00,0.4618,33.768181
545002,1105,-1471.00,0.4594,96.877792
547502,1110,-470.00,0.4569,33.499100
550002,1115,-473.00,0.4544,45.891739
552502,1120,-18468.00,0.4519,68.677216
555002,1125,-2868.00,0.4494,78.129410
557502,1130,-374.00,0.4470,69.860725
560002,1135,-467.00,0.4445,29.305609
562502,1140,-7669.00,0.4420,11.404091
565002,1145,-27084.00,0.4395,11.439030
567502,1150,-23384.00,0.4370,0.057982
570002,1155,-482.00,0.4346,40.552177
572502,1160,-23100.00,0.4321,65.241562
575002,1165,-371.00,0.4296,73.342728
577502,1170,-13371.00,0.4271,37.778336
579908,1175,-473.00,0.4247,30.227745
582408,1180,-9369.00,0.4223,18.190340
584908,1185,-5468.00,0.4198,27.413761
587408,1190,-469.00,0.4173,76.596497
589908,1195,-467.00,0.4148,7.223644
592408,1200,-4887.00,0.4123,38.282936
594908,1205,-17086.00,0.4099,43.145912
597408,1210,-468.00,0.4074,31.251240
599908,1215,-24887.00,0.4049,60.791485
602408,1220,-467.00,0.4024,33.979065
604908,1225,-6471.00,0.3999,19.991175
607408,1230,-5087.00,0.3975,35.643925
609908,1235,-31270.00,0.3950,0.123414
612408,1240,-6884.00,0.3925,29.270882
614908,1245,-5268.00,0.3900,27.330166
617408,1250,-2071.00,0.3875,21.748411
619908,1255,-478.00,0.3851,40.719189
622408,1260,-11669.00,0.3826,36.203583
624908,1265,-467.00,0.3801,44.196594
627268,1270,1770.00,0.3778,45.431389
629768,1275,-2274.00,0.3753,52.063148
632268,1280,-17067.00,0.3728,65.835396
634768,1285,-17872.00,0.3703,11.051030
637268,1290,-5768.00,0.3678,9.016504
639768,1295,-467.00,0.3654,31.472305
642268,1300,-8867.00,0.3629,34.086281
644598,1305,-6486.00,0.3606,5.242221
647098,1310,-1282.00,0.3581,45.538105
649598,1315,-473.00,0.3556,42.490902
652098,1320,-4769.00,0.3531,39.489120
654598,1325,-1071.00,0.3506,27.783733
657098,1330,-5177.00,0.3482,33.390697
659598,1335,-485.00,0.3457,31.194466
662098,1340,-2467.00,0.3432,59.936878
664191,1345,-6673.00,0.3411,20.194664
666545,1350,-479.00,0.3388,44.991585
669045,1355,-11082.00,0.3363,22.516325
671295,1360,-3467.00,0.3341,96.325630
673795,1365,-17500.00,0.3316,24.066223
676295,1370,-370.00,0.3291,78.245903
678795,1375,-472.00,0.3266,36.800175
681295,1380,-15169.00,0.3242,2.482242
683795,1385,-2467.00,0.3217,20.989973
686295,1390,-468.00,0.3192,44.544693
688795,1395,-5267.00,0.3167,11.586308
691295,1400,-20571.00,0.3142,12.969218
693795,1405,-476.00,0.3118,44.988266
696295,1410,-467.00,0.3093,12.988955
698795,1415,-26468.00,0.3068,34.104156
701295,1420,-476.00,0.3043,61.654865
703795,1425,-13869.00,0.3018,7.731979
706295,1430,-2578.00,0.2994,18.567583
708795,1435,-475.00,0.2969,32.828049
711295,1440,-667.00,0.2944,34.614788
713795,1445,-22067.00,0.2919,41.565582
716295,1450,-470.00,0.2894,13.411468
718671,1455,-35477.00,0.2871,47.784321
721171,1460,-3668.00,0.2846,6.942237
723671,1465,-11280.00,0.2821,5.631994
726171,1470,-14070.00,0.2796,5.377119
728671,1475,-480.00,0.2772,26.407129
731171,1480,-2482.00,0.2747,25.314333
733671,1485,-9271.00,0.2722,18.084682
736171,1490,-467.00,0.2697,22.148371
738671,1495,-21100.00,0.2672,18.417992
741171,1500,-34678.00,0.2648,8.278296
743671,1505,-2669.00,0.2623,11.850084
746171,1510,-6867.00,0.2598,33.431530
748671,1515,-9871.00,0.2573,86.746620
751171,1520,-467.00,0.2548,8.362378
753671,1525,-3073.00,0.2524,45.288784
756171,1530,-469.00,0.2499,45.958069
758671,1535,-467.00,0.2474,35.090729
761171,1540,-13882.00,0.2449,14.026247
763671,1545,-12467.00,0.2424,18.033203
766171,1550,-478.00,0.2400,27.650518
768671,1555,-5171.00,0.2375,39.530354
771171,1560,-488.00,0.2350,16.488417
773671,1565,-479.00,0.2325,8.983603
776171,1570,-7667.00,0.2300,10.096028
778671,1575,-469.00,0.2276,0.197547
781171,1580,-1669.00,0.2251,6.961414
783671,1585,-472.00,0.2226,30.811836
691795,0,-469.00,0.3137,161.555481
694295,5,-474.00,0.3113,58.713833
696795,10,-471.00,0.3088,254.469894
699295,15,-3877.00,0.3063,36.757965
701795,20,-474.00,0.3038,244.028976
704295,25,-484.00,0.3013,274.580139
706795,30,-371.00,0.2989,41.562321
709295,35,-481.00,0.2964,173.941666
711795,40,-470.00,0.2939,147.431534
714295,45,-7267.00,0.2914,0.400771
716795,50,-3370.00,0.2889,199.113998
719295,55,-475.00,0.2865,181.017853
721795,60,-467.00,0.2840,150.640747
724295,65,-472.00,0.2815,227.877701
726795,70,-11483.00,0.2790,259.673462
729295,75,-469.00,0.2765,79.060753
731795,80,-471.00,0.2741,79.766251
734295,85,-476.00,0.2716,100.473335
736795,90,-10070.00,0.2691,37.184456
739295,95,-489.00,0.2666,187.089417
741795,100,-474.00,0.2641,199.649765
744295,105,-32272.00,0.2617,66.477249
746795,110,-471.00,0.2592,282.274109
749295,115,-470.00,0.2567,202.422089
751795,120,-481.00,0.2542,210.934982
754295,125,-476.00,0.2517,37.060593
756795,130,-13667.00,0.2493,109.234093
759295,135,-1267.00,0.2468,101.090485
761795,140,-474.00,0.2443,56.952843
764295,145,-3070.00,0.2418,139.096161
766795,150,-472.00,0.2393,0.213052
769295,155,-475.00,0.2369,260.311981
771795,160,-475.00,0.2344,219.493942
774295,165,-5672.00,0.2319,87.332932
776795,170,-371.00,0.2294,217.675827
779295,175,-472.00,0.2269,336.101105
781795,180,-10867.00,0.2245,0.099891
784295,185,-483.00,0.2220,109.087555
786795,190,-7471.00,0.2195,0.175395
789295,195,-488.00,0.2170,42.353054
791768,200,-22141.00,0.2146,43.735523
794268,205,-480.00,0.2121,104.085602
796768,210,-368.00,0.2096,77.380585
799268,215,-20068.00,0.2071,119.088661
801768,220,-488.00,0.2046,94.302620
804268,225,-486.00,0.2022,99.466606
806768,230,-372.00,0.1997,72.277367
809268,235,-474.00,0.1972,138.166489
811768,240,-3267.00,0.1947,182.006897
814268,245,-6867.00,0.1922,45.896004
816768,250,-478.00,0.1898,103.340889
819268,255,-469.00,0.1873,104.650734
821768,260,-492.00,0.1848,133.195526
824268,265,-11276.00,0.1823,173.391464
826768,270,-378.00,0.1798,111.318443
829268,275,-389.00,0.1774,35.645786
831768,280,-471.00,0.1749,61.244049
834268,285,-368.00,0.1724,103.109314
836768,290,-4168.00,0.1699,71.299782
839268,295,-10700.00,0.1674,120.214188
841768,300,-28882.00,0.1650,128.522690
844268,305,-3068.00,0.1625,89.671417
846768,310,-481.00,0.1600,117.310493
849268,315,-467.00,0.1575,36.484566
851768,320,-474.00,0.1550,163.002777
854268,325,-467.00,0.1526,123.310043
856768,330,-491.00,0.1501,15.721397
859268,335,-14700.00,0.1476,31.069777
861768,340,-1871.00,0.1451,104.158760
864268,345,-481.00,0.1426,27.414242
866768,350,-479.00,0.1402,111.076096
869268,355,-469.00,0.1377,69.150017
871768,360,-10970.00,0.1352,59.968697
874268,365,-14900.00,0.1327,69.758492
876768,370,-3869.00,0.1302,61.881538
879268,375,-472.00,0.1278,181.910141
881768,380,-492.00,0.1253,87.773422
884268,385,-17500.00,0.1228,50.629047
886768,390,-19277.00,0.1203,26.228779
889268,395,-472.00,0.1178,0.110189
891768,400,-470.00,0.1154,30.782583
894268,405,-468.00,0.1129,43.894276
896768,410,-23371.00,0.1104,128.746826
899268,415,-467.00,0.1079,87.453072
901768,420,-3884.00,0.1054,76.863556
904268,425,-472.00,0.1030,77.094635
906768,430,-56578.00,0.1005,19.169159
909268,435,-3772.00,0.0980,100.241524
911768,440,-370.00,0.0955,0.083818
914268,445,-467.00,0.0930,81.362801
916768,450,-474.00,0.0906,127.751740
919268,455,-7768.00,0.0881,14.656207
921768,460,-4685.00,0.0856,21.583309
924268,465,-13672.00,0.0831,76.748047
926768,470,-9071.00,0.0806,59.130005
929268,475,-371.00,0.0782,20.157665
931541,480,-467.00,0.0759,77.397209
934041,485,-14468.00,0.0734,42.405422
936541,490,-52580.00,0.0710,77.741356
939041,495,-370.00,0.0685,49.993954
941541,500,-5881.00,0.0660,19.800739
944012,505,-19869.00,0.0635,21.816950
946512,510,-487.00,0.0611,37.604610
949012,515,-369.00,0.0586,0.090232
951512,520,-491.00,0.0561,135.653091
954012,525,-11067.00,0.0536,68.444145
956512,530,-23077.00,0.0511,62.466034
959012,535,-3869.00,0.0487,30.841297
961512,540,-474.00,0.0462,0.116715
963630,545,-869.00,0.0441,17.468073
966130,550,-467.00,0.0416,52.952698
968630,555,-467.00,0.0391,45.063755
971130,560,-3068.00,0.0366,19.661295
973630,565,-17067.00,0.0342,0.045833
976130,570,-6468.00,0.0317,0.108139
978630,575,-467.00,0.0292,19.733263
981130,580,-20700.00,0.0267,53.376408
983630,585,-8071.00,0.0242,21.636667
986130,590,-1568.00,0.0218,11.403552
988630,595,-17768.00,0.0193,153.877701
991130,0,-17100.00,0.0168,149.972519
993630,5,-474.00,0.0143,0.164500
996130,10,-41483.00,0.0118,0.154183
998630,15,-488.00,0.0094,46.789520
1001130,20,-8279.00,0.0080,49.562260
1003630,25,-476.00,0.0080,115.013062
1006130,30,-27689.00,0.0080,41.546928
1008630,35,-472.00,0.0080,34.929970
1011130,40,-474.00,0.0080,192.564911
1013630,45,-12870.00,0.0080,44.539227
1016130,50,-3970.00,0.0080,0.119682
1018630,55,-26472.00,0.0080,0.164428
1021130,60,-17678.00,0.0080,216.691116
1023630,65,-5569.00,0.0080,0.150210
1026130,70,-471.00,0.0080,80.878273
1028630,75,-486.00,0.0080,29.445812
1031130,80,-480.00,0.0080,67.440636
1033630,85,-475.00,0.0080,49.409763
1036130,90,-4272.00,0.0080,0.261231
1038630,95,-11074.00,0.0080,38.385147
1041130,100,-393.00,0.0080,41.037544
1043246,105,-9673.00,0.0080,88.052773
1045746,110,-6683.00,0.0080,92.452072
1048246,115,-467.00,0.0080,44.303551
1050746,120,-474.00,0.0080,52.215797
1053246,125,-15867.00,0.0080,45.967396
1055746,130,-470.00,0.0080,107.328468
1058246,135,-12674.00,0.0080,72.956848
1060746,140,-471.00,0.0080,75.967010
1063246,145,-369.00,0.0080,45.845490
1065746,150,-471.00,0.0080,35.947464
1068246,155,-2870.00,0.0080,86.828773
1070746,160,-469.00,0.0080,0.151722
1073246,165,-471.00,0.0080,70.775421
1075746,170,-3668.00,0.0080,88.747810
1078246,175,-26479.00,0.0080,0.244016
1080354,180,-479.00,0.0080,241.268875
1082854,185,-473.00,0.0080,92.277794
1085354,190,-11092.00,0.0080,0.137791
1087854,195,-489.00,0.0080,314.440765
